

"","PD04640PD"
"","Tipo de cambio - TC Sistema bancario SBS (S/ por US$) - Venta"
02Abr02,3.453
03Abr02,3.45
04Abr02,3.45
05Abr02,3.446
08Abr02,3.445
09Abr02,3.444
10Abr02,3.443
11Abr02,3.444
12Abr02,3.441
15Abr02,3.439
16Abr02,3.432
17Abr02,3.431
18Abr02,3.433
19Abr02,3.43
22Abr02,3.429
23Abr02,3.431
24Abr02,3.436
25Abr02,3.439
26Abr02,3.438
29Abr02,3.438
30Abr02,3.435
01May02,n.d.
02May02,3.434
03May02,3.436
06May02,3.435
07May02,3.435
08May02,3.435
09May02,3.441
10May02,3.447
13May02,3.453
14May02,3.45
15May02,3.449
16May02,3.451
17May02,3.457
20May02,3.459
21May02,3.463
22May02,3.469
23May02,3.471
24May02,3.455
27May02,3.455
28May02,3.466
29May02,3.47
30May02,3.463
31May02,3.462
03Jun02,3.466
04Jun02,3.474
05Jun02,3.469
06Jun02,n.d.
07Jun02,3.471
