

"","PD04640PD"
"","Tipo de cambio - TC Sistema bancario SBS (S/ por US$) - Venta"
23Nov07,3.008
26Nov07,3.016
27Nov07,3.013
28Nov07,3.001
29Nov07,3.001
30Nov07,3
03Dic07,2.999
04Dic07,3.001
05Dic07,2.99
06Dic07,2.982
07Dic07,2.974
10Dic07,2.974
11Dic07,2.968
12Dic07,2.97
13Dic07,2.975
14Dic07,2.976
17Dic07,2.976
18Dic07,2.978
19Dic07,2.975
20Dic07,2.976
21Dic07,2.977
24Dic07,2.981
25Dic07,n.d.
26Dic07,2.98
27Dic07,2.989
28Dic07,2.994
31Dic07,2.997
01Ene08,n.d.
02Ene08,2.983
03Ene08,2.971
04Ene08,n.d.
07Ene08,2.97
08Ene08,2.962
09Ene08,2.959
10Ene08,2.96
11Ene08,2.943
14Ene08,2.926
15Ene08,2.935
16Ene08,2.943
17Ene08,2.959
18Ene08,2.947
21Ene08,2.968
22Ene08,2.958
23Ene08,2.952
24Ene08,2.94
25Ene08,2.935
28Ene08,2.937
29Ene08,2.935
30Ene08,2.936
31Ene08,2.934
01Feb08,2.932
04Feb08,2.929
05Feb08,2.927
06Feb08,2.923
07Feb08,2.92
08Feb08,2.91
11Feb08,2.911
12Feb08,2.907
13Feb08,2.902
14Feb08,2.9
15Feb08,2.905
18Feb08,2.905
19Feb08,2.9
20Feb08,2.9
21Feb08,2.899
22Feb08,2.898
25Feb08,2.898
26Feb08,2.895
27Feb08,2.893
28Feb08,2.891
29Feb08,2.887
03Mar08,2.885
04Mar08,2.88
05Mar08,2.872
06Mar08,2.857
07Mar08,2.843
10Mar08,2.827
11Mar08,2.811
12Mar08,2.814
13Mar08,2.814
14Mar08,2.81
17Mar08,2.812
18Mar08,2.809
19Mar08,2.796
20Mar08,n.d.
21Mar08,n.d.
24Mar08,2.796
25Mar08,2.786
26Mar08,2.774
27Mar08,2.755
28Mar08,2.739
31Mar08,2.746
01Abr08,2.735
02Abr08,2.723
03Abr08,2.699
04Abr08,2.693
07Abr08,2.695
08Abr08,2.694
09Abr08,2.698
10Abr08,2.712
11Abr08,2.742
14Abr08,2.728
15Abr08,2.712
16Abr08,2.705
17Abr08,2.71
18Abr08,2.724
21Abr08,2.772
22Abr08,2.824
23Abr08,2.793
24Abr08,2.783
25Abr08,2.816
28Abr08,2.836
29Abr08,2.843
30Abr08,2.851
01May08,n.d.
02May08,2.79
05May08,2.787
06May08,2.79
07May08,2.771
08May08,2.762
09May08,2.757
12May08,2.762
13May08,2.769
14May08,2.763
15May08,n.d.
16May08,n.d.
19May08,n.d.
20May08,2.805
21May08,2.804
22May08,2.828
23May08,2.849
26May08,2.85
27May08,2.862
28May08,2.868
29May08,2.865
30May08,2.845
02Jun08,2.843
03Jun08,2.832
04Jun08,2.816
05Jun08,2.803
06Jun08,2.806
09Jun08,2.826
10Jun08,2.862
11Jun08,2.886
12Jun08,2.909
13Jun08,2.892
16Jun08,2.891
17Jun08,2.885
18Jun08,2.886
19Jun08,2.912
20Jun08,2.931
23Jun08,2.941
24Jun08,2.959
25Jun08,2.969
26Jun08,2.966
27Jun08,2.968
30Jun08,2.967
01Jul08,2.964
02Jul08,2.96
03Jul08,2.915
04Jul08,2.891
07Jul08,2.857
08Jul08,2.822
09Jul08,2.811
10Jul08,2.815
11Jul08,2.825
14Jul08,2.824
15Jul08,2.836
16Jul08,2.827
17Jul08,2.83
18Jul08,2.846
21Jul08,2.842
22Jul08,2.843
23Jul08,2.836
24Jul08,2.831
25Jul08,2.82
28Jul08,n.d.
29Jul08,n.d.
30Jul08,2.823
31Jul08,2.816
01Ago08,2.811
04Ago08,2.778
05Ago08,2.785
06Ago08,2.793
07Ago08,2.812
08Ago08,2.847
11Ago08,2.886
12Ago08,2.914
13Ago08,2.94
14Ago08,2.929
15Ago08,2.946
18Ago08,2.93
19Ago08,2.925
20Ago08,2.911
21Ago08,2.899
22Ago08,2.914
25Ago08,2.931
26Ago08,2.947
27Ago08,2.955
28Ago08,2.956
29Ago08,2.953
01Set08,2.957
02Set08,2.961
03Set08,2.966
04Set08,2.968
05Set08,2.97
08Set08,2.974
09Set08,2.975
10Set08,2.973
11Set08,2.974
12Set08,2.963
15Set08,2.974
16Set08,2.976
17Set08,2.976
18Set08,2.974
19Set08,2.951
22Set08,2.944
23Set08,2.945
24Set08,2.959
25Set08,2.96
26Set08,2.971
29Set08,2.981
30Set08,2.977
01Oct08,2.983
02Oct08,3.003
03Oct08,3.003
06Oct08,3.072
07Oct08,3.11
08Oct08,n.d.
09Oct08,3.16
10Oct08,3.117
13Oct08,3.063
14Oct08,3.045
15Oct08,3.073
16Oct08,3.071
17Oct08,3.065
20Oct08,3.058
21Oct08,3.076
22Oct08,3.107
23Oct08,3.098
24Oct08,3.106
27Oct08,3.108
28Oct08,3.104
29Oct08,3.093
30Oct08,3.092
31Oct08,3.09
03Nov08,3.08
04Nov08,3.076
05Nov08,3.075
06Nov08,3.086
07Nov08,3.087
10Nov08,3.086
11Nov08,3.092
12Nov08,3.103
13Nov08,3.108
14Nov08,3.097
17Nov08,3.103
18Nov08,3.103
19Nov08,3.105
20Nov08,n.d.
21Nov08,n.d.
24Nov08,3.094
25Nov08,3.093
26Nov08,3.095
27Nov08,3.092
28Nov08,3.096
01Dic08,3.102
02Dic08,3.111
03Dic08,3.118
04Dic08,3.116
05Dic08,3.12
08Dic08,n.d.
09Dic08,3.117
10Dic08,3.115
11Dic08,3.109
12Dic08,3.112
15Dic08,3.105
16Dic08,3.092
17Dic08,3.078
18Dic08,3.091
19Dic08,3.105
22Dic08,3.113
23Dic08,3.13
24Dic08,3.144
25Dic08,n.d.
26Dic08,n.d.
29Dic08,3.135
30Dic08,3.14
31Dic08,3.142
01Ene09,n.d.
02Ene09,n.d.
05Ene09,3.14
06Ene09,3.134
07Ene09,3.142
08Ene09,3.142
09Ene09,3.134
12Ene09,3.14
13Ene09,3.149
14Ene09,3.151
15Ene09,3.15
16Ene09,3.147
19Ene09,3.153
20Ene09,3.158
21Ene09,3.154
22Ene09,3.154
23Ene09,3.161
26Ene09,3.16
27Ene09,3.162
28Ene09,3.163
29Ene09,3.167
30Ene09,3.174
02Feb09,3.192
03Feb09,3.215
04Feb09,3.239
05Feb09,3.242
06Feb09,3.23
09Feb09,3.22
10Feb09,3.234
11Feb09,3.239
12Feb09,3.233
13Feb09,3.23
16Feb09,3.236
17Feb09,3.245
18Feb09,3.244
19Feb09,3.247
20Feb09,3.25
23Feb09,3.249
24Feb09,3.251
25Feb09,3.247
26Feb09,3.243
27Feb09,3.251
02Mar09,3.255
03Mar09,3.259
04Mar09,3.254
05Mar09,3.254
06Mar09,3.234
09Mar09,3.222
10Mar09,3.195
11Mar09,3.179
12Mar09,3.185
13Mar09,3.176
16Mar09,3.15
17Mar09,3.147
18Mar09,3.147
19Mar09,3.111
20Mar09,3.112
23Mar09,3.121
24Mar09,3.135
25Mar09,3.135
26Mar09,3.13
27Mar09,3.137
30Mar09,3.16
31Mar09,3.161
01Abr09,3.148
02Abr09,3.125
03Abr09,3.124
06Abr09,3.114
07Abr09,3.116
08Abr09,3.109
09Abr09,n.d.
10Abr09,n.d.
13Abr09,3.091
14Abr09,3.092
15Abr09,3.094
16Abr09,3.078
17Abr09,3.08
20Abr09,3.094
21Abr09,3.09
22Abr09,3.084
23Abr09,3.081
24Abr09,3.062
27Abr09,3.06
28Abr09,3.053
29Abr09,3.025
30Abr09,2.995
01May09,n.d.
04May09,2.974
05May09,2.973
06May09,2.964
07May09,2.958
08May09,2.955
11May09,2.965
12May09,2.985
13May09,3.044
14May09,3.028
15May09,3.021
18May09,3.012
19May09,3.004
20May09,2.988
21May09,3
22May09,3.001
25May09,3.006
26May09,3.004
27May09,3.004
28May09,3.007
29May09,2.995
01Jun09,2.97
02Jun09,2.968
03Jun09,2.975
04Jun09,2.972
05Jun09,2.967
08Jun09,2.979
09Jun09,2.981
10Jun09,2.982
11Jun09,2.979
12Jun09,2.977
15Jun09,2.982
16Jun09,2.987
17Jun09,3.001
18Jun09,2.994
19Jun09,2.983
22Jun09,3.024
23Jun09,3.024
24Jun09,3.018
25Jun09,3.024
26Jun09,3.013
29Jun09,n.d.
30Jun09,3.011
01Jul09,3.006
02Jul09,3.016
03Jul09,3.017
06Jul09,3.022
07Jul09,3.018
08Jul09,3.028
09Jul09,3.025
10Jul09,3.03
13Jul09,3.027
14Jul09,3.023
15Jul09,3.016
16Jul09,3.012
17Jul09,3.01
20Jul09,3.012
21Jul09,3.015
22Jul09,3.008
23Jul09,3.004
24Jul09,2.998
27Jul09,n.d.
28Jul09,n.d.
29Jul09,n.d.
30Jul09,2.989
31Jul09,2.987
03Ago09,2.975
04Ago09,2.965
05Ago09,2.954
06Ago09,2.949
07Ago09,2.937
10Ago09,2.935
11Ago09,2.944
12Ago09,2.931
13Ago09,2.929
14Ago09,2.944
17Ago09,2.961
18Ago09,2.951
19Ago09,2.962
20Ago09,2.962
21Ago09,2.953
24Ago09,2.964
25Ago09,2.962
26Ago09,2.956
27Ago09,2.954
28Ago09,2.94
31Ago09,2.948
01Set09,2.952
02Set09,2.949
03Set09,2.944
04Set09,2.936
07Set09,2.932
08Set09,2.92
09Set09,2.922
10Set09,2.928
11Set09,2.925
14Set09,2.923
15Set09,2.919
16Set09,2.902
17Set09,2.898
18Set09,2.895
21Set09,2.902
22Set09,2.89
23Set09,2.871
24Set09,2.878
25Set09,2.882
28Set09,2.883
29Set09,2.891
30Set09,2.885
01Oct09,2.891
02Oct09,2.885
05Oct09,2.872
06Oct09,2.864
07Oct09,2.867
08Oct09,n.d.
09Oct09,n.d.
12Oct09,2.858
13Oct09,2.857
14Oct09,2.856
15Oct09,2.856
16Oct09,2.855
19Oct09,2.853
20Oct09,2.863
21Oct09,2.858
22Oct09,2.863
23Oct09,2.868
26Oct09,2.879
27Oct09,2.899
28Oct09,2.906
29Oct09,2.896
30Oct09,2.906
02Nov09,2.902
03Nov09,2.913
04Nov09,2.901
05Nov09,2.898
06Nov09,2.9
09Nov09,2.89
10Nov09,2.888
11Nov09,2.877
12Nov09,2.88
13Nov09,2.878
16Nov09,2.873
17Nov09,2.87
18Nov09,2.867
19Nov09,2.874
20Nov09,2.882
23Nov09,2.874
24Nov09,2.883
25Nov09,2.881
26Nov09,2.895
27Nov09,2.891
30Nov09,2.881
01Dic09,2.876
02Dic09,2.88
03Dic09,2.876
04Dic09,2.872
07Dic09,2.869
08Dic09,n.d.
09Dic09,2.875
10Dic09,2.872
11Dic09,2.875
14Dic09,2.874
15Dic09,2.874
16Dic09,2.87
17Dic09,2.879
18Dic09,2.885
21Dic09,2.884
22Dic09,2.882
23Dic09,2.884
24Dic09,n.d.
25Dic09,n.d.
28Dic09,2.884
29Dic09,2.887
30Dic09,2.891
31Dic09,n.d.
01Ene10,n.d.
04Ene10,2.885
05Ene10,2.873
06Ene10,2.87
07Ene10,2.867
08Ene10,2.854
11Ene10,2.85
12Ene10,2.849
13Ene10,2.847
14Ene10,2.848
15Ene10,2.85
18Ene10,2.852
19Ene10,2.854
20Ene10,2.855
21Ene10,2.852
22Ene10,2.853
25Ene10,2.852
26Ene10,2.856
27Ene10,2.862
28Ene10,2.86
29Ene10,2.857
01Feb10,2.854
02Feb10,2.85
03Feb10,2.853
04Feb10,2.86
05Feb10,2.865
08Feb10,2.873
09Feb10,2.864
10Feb10,2.859
11Feb10,2.853
12Feb10,2.856
15Feb10,2.855
16Feb10,2.85
17Feb10,2.849
18Feb10,2.851
19Feb10,2.852
22Feb10,2.851
23Feb10,2.851
24Feb10,2.85
25Feb10,2.851
26Feb10,2.849
01Mar10,2.846
02Mar10,2.846
03Mar10,2.844
04Mar10,2.844
05Mar10,2.841
08Mar10,2.841
09Mar10,2.842
10Mar10,2.841
11Mar10,2.839
12Mar10,2.838
15Mar10,2.84
16Mar10,2.838
17Mar10,2.837
18Mar10,2.838
19Mar10,2.838
22Mar10,2.838
23Mar10,2.838
24Mar10,2.837
25Mar10,2.838
26Mar10,2.84
29Mar10,2.841
30Mar10,2.84
31Mar10,2.842
01Abr10,n.d.
02Abr10,n.d.
05Abr10,2.84
06Abr10,2.839
07Abr10,2.838
08Abr10,2.837
09Abr10,2.837
12Abr10,2.835
13Abr10,2.836
14Abr10,2.835
15Abr10,2.836
16Abr10,2.837
19Abr10,2.837
20Abr10,2.839
21Abr10,2.841
22Abr10,2.846
23Abr10,2.843
26Abr10,2.847
27Abr10,2.848
28Abr10,2.847
29Abr10,2.846
30Abr10,2.849
03May10,2.846
04May10,2.849
05May10,2.851
06May10,2.851
07May10,2.853
10May10,2.846
11May10,2.846
12May10,2.839
13May10,2.838
14May10,2.841
17May10,2.842
18May10,2.841
19May10,2.845
20May10,2.851
21May10,2.846
24May10,2.848
25May10,2.85
26May10,2.846
27May10,2.848
28May10,2.847
31May10,2.845
01Jun10,2.845
02Jun10,2.845
03Jun10,2.846
04Jun10,2.849
07Jun10,2.85
08Jun10,2.848
09Jun10,2.846
10Jun10,2.846
11Jun10,2.845
14Jun10,2.843
15Jun10,2.839
16Jun10,2.839
17Jun10,2.836
18Jun10,2.831
21Jun10,2.827
22Jun10,2.827
23Jun10,2.829
24Jun10,2.828
25Jun10,2.827
28Jun10,n.d.
29Jun10,n.d.
30Jun10,2.827
01Jul10,2.827
02Jul10,2.826
05Jul10,2.824
06Jul10,2.825
07Jul10,2.824
08Jul10,2.823
09Jul10,2.824
12Jul10,2.824
13Jul10,2.821
14Jul10,2.815
15Jul10,2.82
16Jul10,2.824
19Jul10,2.823
20Jul10,2.825
21Jul10,2.826
22Jul10,2.823
23Jul10,2.823
26Jul10,2.824
27Jul10,2.824
28Jul10,n.d.
29Jul10,n.d.
30Jul10,n.d.
02Ago10,2.818
03Ago10,2.812
04Ago10,2.804
05Ago10,2.801
06Ago10,2.801
09Ago10,2.802
10Ago10,2.805
11Ago10,2.807
12Ago10,2.805
13Ago10,2.806
16Ago10,2.803
17Ago10,2.8
18Ago10,2.798
19Ago10,2.8
20Ago10,2.8
23Ago10,2.8
24Ago10,2.799
25Ago10,2.799
26Ago10,2.796
27Ago10,2.799
30Ago10,n.d.
31Ago10,2.798
01Set10,2.795
02Set10,2.796
03Set10,2.795
06Set10,2.793
07Set10,2.795
08Set10,2.794
09Set10,2.793
10Set10,2.79
13Set10,2.788
14Set10,2.788
15Set10,2.789
16Set10,2.789
17Set10,2.79
20Set10,2.793
21Set10,2.792
22Set10,2.79
23Set10,2.789
24Set10,2.788
27Set10,2.79
28Set10,2.791
29Set10,2.788
30Set10,2.788
01Oct10,2.789
04Oct10,2.791
05Oct10,2.787
06Oct10,2.79
07Oct10,2.789
08Oct10,n.d.
11Oct10,2.788
12Oct10,2.787
13Oct10,2.787
14Oct10,2.789
15Oct10,2.794
18Oct10,2.793
19Oct10,2.794
20Oct10,2.792
21Oct10,2.793
22Oct10,2.796
25Oct10,2.793
26Oct10,2.794
27Oct10,2.798
28Oct10,2.799
29Oct10,2.798
01Nov10,n.d.
02Nov10,2.795
03Nov10,2.794
04Nov10,2.793
05Nov10,2.793
08Nov10,2.796
09Nov10,2.798
10Nov10,2.801
11Nov10,2.8
12Nov10,2.802
15Nov10,2.806
16Nov10,2.809
17Nov10,2.811
18Nov10,2.806
19Nov10,2.807
22Nov10,2.81
23Nov10,2.812
24Nov10,2.81
25Nov10,2.811
26Nov10,2.817
29Nov10,2.826
30Nov10,2.832
01Dic10,2.828
02Dic10,2.828
03Dic10,2.826
06Dic10,2.824
07Dic10,2.819
08Dic10,n.d.
09Dic10,2.824
10Dic10,2.827
13Dic10,2.826
14Dic10,2.821
15Dic10,2.819
16Dic10,2.82
17Dic10,2.819
20Dic10,2.813
21Dic10,2.806
22Dic10,2.805
23Dic10,2.801
24Dic10,n.d.
27Dic10,2.8
28Dic10,2.803
29Dic10,2.809
30Dic10,2.809
31Dic10,n.d.
03Ene11,2.803
04Ene11,2.801
05Ene11,2.803
06Ene11,2.805
07Ene11,2.807
10Ene11,2.806
11Ene11,2.801
12Ene11,2.794
13Ene11,2.788
14Ene11,2.789
17Ene11,2.788
18Ene11,2.786
19Ene11,2.78
20Ene11,2.776
21Ene11,2.774
24Ene11,2.774
25Ene11,2.776
26Ene11,2.773
27Ene11,2.772
28Ene11,2.775
31Ene11,2.773
01Feb11,2.769
02Feb11,2.768
03Feb11,2.768
04Feb11,2.768
07Feb11,2.767
08Feb11,2.768
09Feb11,2.768
10Feb11,2.768
11Feb11,2.766
14Feb11,2.767
15Feb11,2.77
16Feb11,2.771
17Feb11,2.768
18Feb11,2.767
21Feb11,2.77
22Feb11,2.775
23Feb11,2.792
24Feb11,2.782
25Feb11,2.776
28Feb11,2.775
01Mar11,2.778
02Mar11,2.775
03Mar11,2.771
04Mar11,2.77
07Mar11,2.77
08Mar11,2.771
09Mar11,2.77
10Mar11,2.77
11Mar11,2.769
14Mar11,2.77
15Mar11,2.77
16Mar11,2.77
17Mar11,2.769
18Mar11,2.767
21Mar11,2.781
22Mar11,2.782
23Mar11,2.778
24Mar11,2.778
25Mar11,2.788
28Mar11,2.812
29Mar11,2.813
30Mar11,2.81
31Mar11,2.805
01Abr11,2.807
04Abr11,2.81
05Abr11,2.81
06Abr11,2.81
07Abr11,2.805
08Abr11,2.8
11Abr11,2.8
12Abr11,2.808
13Abr11,2.815
14Abr11,2.822
15Abr11,2.824
18Abr11,2.823
19Abr11,2.823
20Abr11,2.822
21Abr11,n.d.
22Abr11,n.d.
25Abr11,2.823
26Abr11,2.827
27Abr11,2.834
28Abr11,2.825
29Abr11,2.821
02May11,n.d.
03May11,2.83
04May11,2.821
05May11,2.818
06May11,2.803
09May11,2.793
10May11,2.792
11May11,2.794
12May11,2.784
13May11,2.767
16May11,2.761
17May11,2.762
18May11,2.755
19May11,2.755
20May11,2.756
23May11,2.758
24May11,2.753
25May11,2.751
26May11,2.748
27May11,2.752
30May11,2.767
31May11,2.767
01Jun11,2.777
02Jun11,2.768
03Jun11,2.763
06Jun11,2.787
07Jun11,2.788
08Jun11,2.782
09Jun11,2.764
10Jun11,2.764
13Jun11,2.76
14Jun11,2.763
15Jun11,2.762
16Jun11,2.761
17Jun11,2.761
20Jun11,2.76
21Jun11,2.756
22Jun11,2.757
23Jun11,2.76
24Jun11,2.761
27Jun11,2.759
28Jun11,2.756
29Jun11,n.d.
30Jun11,2.75
01Jul11,2.748
04Jul11,2.75
05Jul11,2.75
06Jul11,2.749
07Jul11,2.744
08Jul11,2.745
11Jul11,2.745
12Jul11,2.743
13Jul11,2.738
14Jul11,2.742
15Jul11,2.742
18Jul11,2.738
19Jul11,2.737
20Jul11,2.739
21Jul11,2.736
22Jul11,2.738
25Jul11,2.737
26Jul11,2.737
27Jul11,2.738
28Jul11,n.d.
29Jul11,n.d.
01Ago11,2.743
02Ago11,2.744
03Ago11,2.743
04Ago11,2.742
05Ago11,2.742
08Ago11,2.753
09Ago11,2.748
10Ago11,2.752
11Ago11,2.745
12Ago11,2.742
15Ago11,2.742
16Ago11,2.741
17Ago11,2.739
18Ago11,2.74
19Ago11,2.736
22Ago11,2.732
23Ago11,2.733
24Ago11,2.733
25Ago11,2.732
26Ago11,2.731
29Ago11,n.d.
30Ago11,n.d.
31Ago11,2.727
01Set11,2.728
02Set11,2.731
05Set11,2.732
06Set11,2.73
07Set11,2.726
08Set11,2.725
09Set11,2.727
12Set11,2.729
13Set11,2.735
14Set11,2.731
15Set11,2.731
16Set11,2.732
19Set11,2.739
20Set11,2.741
21Set11,2.747
22Set11,2.776
23Set11,2.771
26Set11,2.77
27Set11,2.766
28Set11,2.766
29Set11,2.769
30Set11,2.773
03Oct11,2.774
04Oct11,2.777
05Oct11,2.771
06Oct11,2.754
07Oct11,2.744
10Oct11,2.732
11Oct11,2.73
12Oct11,2.726
13Oct11,2.727
14Oct11,2.721
17Oct11,2.723
18Oct11,2.723
19Oct11,2.722
20Oct11,2.727
21Oct11,2.721
24Oct11,2.721
25Oct11,2.717
26Oct11,2.719
27Oct11,2.711
28Oct11,2.708
31Oct11,n.d.
01Nov11,n.d.
02Nov11,2.712
03Nov11,2.709
04Nov11,2.708
07Nov11,2.705
08Nov11,2.704
09Nov11,2.707
10Nov11,2.709
11Nov11,2.704
14Nov11,2.705
15Nov11,2.706
16Nov11,2.703
17Nov11,2.701
18Nov11,2.7
21Nov11,2.702
22Nov11,2.702
23Nov11,2.706
24Nov11,2.707
25Nov11,2.713
28Nov11,2.709
29Nov11,2.706
30Nov11,2.7
01Dic11,2.699
02Dic11,2.699
05Dic11,2.698
06Dic11,2.698
07Dic11,2.697
08Dic11,n.d.
09Dic11,2.697
12Dic11,2.701
13Dic11,2.696
14Dic11,2.697
15Dic11,2.696
16Dic11,2.697
19Dic11,2.698
20Dic11,2.695
21Dic11,2.695
22Dic11,2.694
23Dic11,n.d.
26Dic11,2.695
27Dic11,2.696
28Dic11,2.696
29Dic11,2.697
30Dic11,n.d.
02Ene12,2.7
03Ene12,2.696
04Ene12,2.697
05Ene12,2.695
06Ene12,2.694
09Ene12,2.694
10Ene12,2.692
11Ene12,2.693
12Ene12,2.692
13Ene12,2.694
16Ene12,2.694
17Ene12,2.693
18Ene12,2.693
19Ene12,2.693
20Ene12,2.693
23Ene12,2.691
24Ene12,2.692
25Ene12,2.693
26Ene12,2.691
27Ene12,2.691
30Ene12,2.691
31Ene12,2.691
01Feb12,2.689
02Feb12,2.691
03Feb12,2.69
06Feb12,2.689
07Feb12,2.688
08Feb12,2.689
09Feb12,2.688
10Feb12,2.685
13Feb12,2.686
14Feb12,2.686
15Feb12,2.686
16Feb12,2.683
17Feb12,2.682
20Feb12,2.681
21Feb12,2.68
22Feb12,2.68
23Feb12,2.68
24Feb12,2.68
27Feb12,2.679
28Feb12,2.679
29Feb12,2.678
01Mar12,2.678
02Mar12,2.676
05Mar12,2.676
06Mar12,2.676
07Mar12,2.675
08Mar12,2.672
09Mar12,2.669
12Mar12,2.669
13Mar12,2.67
14Mar12,2.67
15Mar12,2.672
16Mar12,2.671
19Mar12,2.671
20Mar12,2.671
21Mar12,2.671
22Mar12,2.67
23Mar12,2.67
26Mar12,2.671
27Mar12,2.671
28Mar12,2.669
29Mar12,2.669
30Mar12,2.668
02Abr12,2.668
03Abr12,2.668
04Abr12,2.668
05Abr12,n.d.
06Abr12,n.d.
09Abr12,2.667
10Abr12,2.667
11Abr12,2.665
12Abr12,2.66
13Abr12,2.658
16Abr12,2.657
17Abr12,2.657
18Abr12,2.655
19Abr12,2.654
20Abr12,2.652
23Abr12,2.652
24Abr12,2.652
25Abr12,2.65
26Abr12,2.647
27Abr12,2.641
30Abr12,n.d.
01May12,n.d.
02May12,2.638
03May12,2.64
04May12,2.645
07May12,2.639
08May12,2.643
09May12,2.646
10May12,2.648
11May12,2.655
14May12,2.664
15May12,2.67
16May12,2.667
17May12,2.672
18May12,2.669
21May12,2.67
22May12,2.672
23May12,2.689
24May12,2.694
25May12,2.701
28May12,2.7
29May12,2.701
30May12,2.706
31May12,2.71
01Jun12,2.709
04Jun12,2.704
05Jun12,2.702
06Jun12,2.683
07Jun12,2.675
08Jun12,2.683
11Jun12,2.682
12Jun12,2.684
13Jun12,2.678
14Jun12,2.672
15Jun12,2.665
18Jun12,2.642
19Jun12,2.642
20Jun12,2.641
21Jun12,2.653
22Jun12,2.653
25Jun12,2.659
26Jun12,2.663
27Jun12,2.662
28Jun12,2.671
29Jun12,n.d.
02Jul12,2.655
03Jul12,2.647
04Jul12,2.646
05Jul12,2.65
06Jul12,2.65
09Jul12,2.641
10Jul12,2.634
11Jul12,2.633
12Jul12,2.633
13Jul12,2.628
16Jul12,2.624
17Jul12,2.62
18Jul12,2.62
19Jul12,2.621
20Jul12,2.631
23Jul12,2.651
24Jul12,2.642
25Jul12,2.638
26Jul12,2.633
27Jul12,n.d.
30Jul12,2.625
31Jul12,2.629
01Ago12,2.625
02Ago12,2.63
03Ago12,2.622
06Ago12,2.619
07Ago12,2.62
08Ago12,2.618
09Ago12,2.617
10Ago12,2.618
13Ago12,2.618
14Ago12,2.616
15Ago12,2.615
16Ago12,2.614
17Ago12,2.613
20Ago12,2.613
21Ago12,2.612
22Ago12,2.613
23Ago12,2.615
24Ago12,2.614
27Ago12,2.613
28Ago12,2.612
29Ago12,2.61
30Ago12,n.d.
31Ago12,n.d.
03Set12,2.608
04Set12,2.608
05Set12,2.611
06Set12,2.611
07Set12,2.61
10Set12,2.609
11Set12,2.608
12Set12,2.606
13Set12,2.604
14Set12,2.598
17Set12,2.601
18Set12,2.602
19Set12,2.602
20Set12,2.603
21Set12,2.601
24Set12,2.599
25Set12,2.596
26Set12,2.597
27Set12,2.594
28Set12,2.598
01Oct12,n.d.
02Oct12,n.d.
03Oct12,2.599
04Oct12,2.597
05Oct12,2.594
08Oct12,n.d.
09Oct12,2.588
10Oct12,2.585
11Oct12,2.586
12Oct12,2.587
15Oct12,2.585
16Oct12,2.583
17Oct12,2.582
18Oct12,2.579
19Oct12,2.58
22Oct12,2.578
23Oct12,2.58
24Oct12,2.582
25Oct12,2.586
26Oct12,2.599
29Oct12,2.602
30Oct12,2.598
31Oct12,2.592
01Nov12,n.d.
02Nov12,n.d.
05Nov12,2.604
06Nov12,2.608
07Nov12,2.604
08Nov12,2.606
09Nov12,2.612
12Nov12,2.613
13Nov12,2.616
14Nov12,2.606
15Nov12,2.603
16Nov12,2.607
19Nov12,2.6
20Nov12,2.598
21Nov12,2.597
22Nov12,2.591
23Nov12,2.59
26Nov12,2.589
27Nov12,2.588
28Nov12,2.589
29Nov12,2.583
30Nov12,2.579
03Dic12,2.579
04Dic12,2.58
05Dic12,2.581
06Dic12,2.579
07Dic12,2.575
10Dic12,2.575
11Dic12,2.573
12Dic12,2.57
13Dic12,2.565
14Dic12,2.564
17Dic12,2.562
18Dic12,2.563
19Dic12,2.564
20Dic12,2.563
21Dic12,2.564
24Dic12,n.d.
25Dic12,n.d.
26Dic12,2.557
27Dic12,2.551
28Dic12,2.551
31Dic12,n.d.
01Ene13,n.d.
02Ene13,2.549
03Ene13,2.551
04Ene13,2.547
07Ene13,2.547
08Ene13,2.547
09Ene13,2.549
10Ene13,2.551
11Ene13,2.55
14Ene13,2.541
15Ene13,2.541
16Ene13,2.545
17Ene13,2.548
18Ene13,2.554
21Ene13,2.552
22Ene13,2.555
23Ene13,2.553
24Ene13,2.555
25Ene13,2.557
28Ene13,2.56
29Ene13,2.563
30Ene13,2.56
31Ene13,2.578
01Feb13,2.572
04Feb13,2.577
05Feb13,2.577
06Feb13,2.577
07Feb13,2.579
08Feb13,2.579
11Feb13,n.d.
12Feb13,2.579
13Feb13,2.572
14Feb13,2.567
15Feb13,2.57
18Feb13,2.574
19Feb13,2.583
20Feb13,2.583
21Feb13,2.586
22Feb13,2.583
25Feb13,2.583
26Feb13,2.583
27Feb13,2.581
28Feb13,2.587
01Mar13,2.593
04Mar13,2.598
05Mar13,2.594
06Mar13,2.597
07Mar13,2.604
08Mar13,2.603
11Mar13,2.599
12Mar13,2.591
13Mar13,2.593
14Mar13,2.594
15Mar13,2.593
18Mar13,2.599
19Mar13,2.596
20Mar13,2.594
21Mar13,2.594
22Mar13,2.591
25Mar13,2.588
26Mar13,2.586
27Mar13,2.589
28Mar13,n.d.
29Mar13,n.d.
01Abr13,2.59
02Abr13,2.588
03Abr13,2.587
04Abr13,2.586
05Abr13,2.584
08Abr13,2.578
09Abr13,2.577
10Abr13,2.577
11Abr13,2.58
12Abr13,2.585
15Abr13,2.591
16Abr13,2.59
17Abr13,2.591
18Abr13,2.592
19Abr13,2.593
22Abr13,2.596
23Abr13,2.605
24Abr13,2.624
25Abr13,2.624
26Abr13,2.627
29Abr13,2.646
30Abr13,2.646
01May13,n.d.
02May13,2.648
